rotation,value,x,y,is_max
47174.66,-2978.62,587.00,298.88,False
47260.27,-3070.26,588.00,299.62,False
47345.89,-3146.64,589.00,300.25,False
47431.51,-3192.46,590.00,300.62,False
47517.12,-3238.29,591.00,301.00,False
47602.74,-3314.66,592.00,301.62,False
47688.36,-3391.04,593.00,302.25,False
47773.97,-3436.86,594.00,302.62,False
47859.59,-3482.69,595.00,303.00,False
47945.21,-3543.79,596.00,303.50,False
48030.82,-3620.16,597.00,304.12,False
48116.44,-3696.54,598.00,304.75,False
48202.05,-3757.64,599.00,305.25,False
48287.67,-3849.29,600.00,306.00,False
48373.29,-3925.66,601.00,306.62,False
48458.90,-3925.66,602.00,306.62,False
48544.52,-3864.56,603.00,306.12,False
48630.14,-3696.54,604.00,304.75,False
48715.75,-3406.31,605.00,302.38,False
48801.37,-3085.54,606.00,299.75,False
48886.99,-2764.77,607.00,297.12,False
48972.60,-2428.72,608.00,294.38,False
49058.22,-2092.67,609.00,291.62,False
49143.84,-1756.62,610.00,288.88,False
49229.45,-1481.67,611.00,286.62,False
49315.07,-1237.27,612.00,284.62,False
49400.68,-947.05,613.00,282.25,False
49486.30,-672.10,614.00,280.00,False
